Start-Datum;End-Datum;Name;Turnierart;Ordnungsnummer;Land;Ort;Region;Offener-Turniername;Veranstalter;Kategorie;Meldeschluss;Turnier-Link;Ausschreibung-Link;Ausschreibung-PDF;AK_U9;AK_U11;AK_U13;AK_U15;AK_U17;AK_U19;AK_U22;AK_O19;AK_O35
18.01.2021;19.01.2021;1. B-RLT Süd-Ost U15-U19;Rangliste;1;DE;Zittau und Großschönau;Gruppe Südost;;GRSO;B-Level;;http://dbv.turnier.de/sport/tournament?id=9C8F8EA4-2A0B-469B-B07A-0237D145342D;;ja;;;;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;;;
18.01.2021;18.01.2021; E-RLT SAH Magdeburg U11-U19 (3. Regionalrangliste Ull - U19);Rangliste;;DE;29410 Salzwedel;Magdeburg;3. Regionalrangliste Ull - U19;SAH;E-Level;11.01.2021;;;ja;;Einzel;Einzel;Einzel;Einzel;Einzel;;;
18.01.2021;18.01.2021; Kreismeisterschaften SAH Dessau U11-U19 (Regionalmeisterschaft);Meisterschaft;;DE;06749 Bitterfeld;Dessau;Regionalmeisterschaft;SAH;E-Level;15.01.2021;;;ja;;Einzel/Doppel;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;;;
18.01.2021;18.01.2021; D-RLT SAC Chemnitz U13/U19;Rangliste;;DE;Annaberg-Buchholz;Chemnitz;;SAC;D2-Level;04.01.2021;https://www.turnier.de/sport/tournament?id=9A754785-1E3D-46C7-AC69-C18725CD38F3;http://rvc.bvsachsen.de/ausschreibungen/Ausschreibung_RRL_Nachwuchs_2021.pdf;nein;;;Einzel;;;Einzel;;;
18.01.2021;18.01.2021;1. D-RLT NIS NBV-Bezirk Weser-Ems U11-U22;Rangliste;1;DE;Neuenhaus;NBV-Bezirk Weser-Ems;;NIS;D1-Level;09.01.2021;https://www.turnier.de/sport/tournament?id=7FB6A2ED-F466-43A7-A50E-842BAEDFB9F7;https://www.nbv-online.de/ausschreibung/200118-DBV-Jgd-DRTD-U11-U22-Neuenhaus.pdf;nein;;Doppel/Mixed;Doppel/Mixed;Doppel/Mixed;Doppel/Mixed;Doppel/Mixed;Doppel/Mixed;;
18.01.2021;19.01.2021;1. E-RLT NIS NBV-Kreis Rotenburg U9-U22;Rangliste;1;DE;Rotenburg (Wümme);NBV-Kreis Rotenburg;;NIS;E-Level;09.01.2021;https://www.turnier.de/sport/tournament?id=D2940554-3F64-4529-A5CA-12BE1A4EE221;https://www.nbv-online.de/ausschreibung/200118-19-DBV-Jgd-ERTE-U9-U19-Rotenburg.pdf;nein;Einzel;Einzel;Einzel;Einzel;Einzel;Einzel;Einzel;;
18.01.2021;19.01.2021;1. A-RLT U11/U13;Rangliste;1;DE;Unterpörlitz/Ilmenau;;;DBV;A-Level;15.12.2020;;https://cloud.badminton.de/index.php/s/MNtFv7v3qeN6xiu;ja;;Einzel/Doppel;Einzel/Doppel/Mixed;;;;;;
18.01.2021;18.01.2021;1. C-RLT RHP U15/U17;Rangliste;1;DE;BV Kaiserslautern, Schulzentrum Nord;;;RHP;C2-Level;14.01.2021;https://www.turnier.de/sport/tournament?id=48630DDC-0852-490E-941F-72AB49F1F7B7;;ja;;;;Einzel/Doppel;Einzel/Doppel;;;;
18.01.2021;19.01.2021;1. D-RLT BAW SB (Südbaden) U11-U19;Rangliste;1;DE;Seelbach;SB (Südbaden);;BAW;D1-Level;24.12.2020;;https://bwbv.de/jugend/sb/main-files/1920/sb-bezirk/1920-bezirk-rlt-1-ausschreibung.pdf;ja;;Einzel;Einzel;Einzel;Einzel;Einzel;;;
18.01.2021;19.01.2021;1. D-RLT BAW NW (Nordwürttemberg) U11-U19;Rangliste;1;DE;Aalen;NW (Nordwürttemberg);;BAW;D1-Level;24.12.2020;https://www.turnier.de/sport/tournament?id=6BA8F0F3-70EF-4781-96C5-B579D989CCDE;https://bwbv.de/nachrichten/dateiupload/001228_D_RLT_1_NW_Ausschreibung_Endfassung_Oktober_2020.pdf;ja;;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;;;
